201203122015X,MAL12085079X,CHEMISEPT ( Hand antiseptic liquid ),PRODUCT APPROVED,NON PRESCRIPTION,Chemi-pharm Malaysia Sdn. Bhd.,Chemi-Pharm AS
201007300001A,MAL15125024AZ,Hydrorazide 12.5mg Tablet,PRODUCT APPROVED,PRESCRIPTION,ROYCE PHARMA MANUFACTURING SDN. BHD.,ROYCE PHARMA MANUFACTURING SDN. BHD.
201103242020T,MAL11125041T,kapsul b' balance,PRODUCT APPROVED,NATURAL PRODUCT,SERI MH UMMI SDN BHD,SERI MH UMMI SDN BHD
201104052014T,MAL11105006T,Kapsul B' Natural,PRODUCT APPROVED,NATURAL PRODUCT,SERI MH UMMI SDN BHD,SERI MH UMMI SDN BHD
201101270005A,MAL15045057AZ,Azithromycin film-coated tablets 500mg Lesvi Lab,PRODUCT APPROVED,PRESCRIPTION,ZIWELL MEDICAL SDN BHD,"LABORATORIOS LESVI, S.L."
201108042014T,MAL12055058T,BTY MISTURA XIN TIE DI (Liquid),PRODUCT APPROVED,NATURAL PRODUCT,BTY WORLDWIDE SDN.BHD.,BTY WORLDWIDE SDN.BHD.
201010050001A,MAL11035010AZ,GOUTNOR 0.5MG TABLET,PRODUCT APPROVED,PRESCRIPTION,Noripharma Sdn. Bhd.,Noripharma Sdn. Bhd.
201107122014T,MAL12025002T,A1 MEDI-AFA CAPSULE,PRODUCT APPROVED,NATURAL PRODUCT,Esprit Care Sdn. Bhd.,Esprit Care Sdn. Bhd.
201007300002A,MAL15125025AZ,Hydrorazide 25mg Tablet,PRODUCT APPROVED,PRESCRIPTION,ROYCE PHARMA MANUFACTURING SDN. BHD.,ROYCE PHARMA MANUFACTURING SDN. BHD.
201302252012A,MAL15045079AZ,NUCYNTA ER Tablets 150mg,PRODUCT APPROVED,NEW CHEMICAL ENTITY,MUNDIPHARMA PHARMACEUTICALS SDN. BHD.,Janssen Ortho LLC
201208292022T,MAL14015023TC,Oriyen Manjakani Plus Gel,PRODUCT APPROVED,NATURAL PRODUCT,COSWAY (M) SDN BHD,"Cosmed Innovation Co., Ltd"
201207112014T,MAL13015011T,Nature's Green Waist Pain Tablets,PRODUCT APPROVED,NATURAL PRODUCT,Tong Jum Chew (m) Sdn. Bhd.,Tong Jum Chew Pte. Ltd.
201207112015T,MAL13035005T,Yu Ping Feng Tablets,PRODUCT APPROVED,NATURAL PRODUCT,Tong Jum Chew (m) Sdn. Bhd.,Tong Jum Chew Pte. Ltd.
201207112013X,MAL13035056XZ,Axcel VITALIC TABLETS,PRODUCT APPROVED,NON PRESCRIPTION,KOTRA PHARMA (M) SDN. BHD.,KOTRA PHARMA (M) SDN. BHD.
201207252012N,MAL13015061NCR,YSLM Deer Placenta Plus Softgel,PRODUCT APPROVED,HEALTH SUPPLEMENT,BIO-SCIENCE MARKETING SDN. BHD.,Alpha Laboratories (NZ) Ltd.
201103312017T,MAL12025003T,GREENLEX MenCare Capsule 300mg,PRODUCT APPROVED,NATURAL PRODUCT,Zhulian Nutraceutical Sdn. Bhd.,Zhulian Nutraceutical Sdn. Bhd.
201103010005A,MAL11125009AZ,Aremed 1mg Film-coated Tablet,PRODUCT APPROVED,PRESCRIPTION,EUCOGEN SDN BHD,Remedica Ltd
201012090004T,MAL11125042TC,FENG'S BRAND TRI-B,PRODUCT APPROVED,NATURAL PRODUCT,Premier Herbs Sdn Bhd,QIS RESEARCH LABORATORY SDN. BHD.
201012130006T,MAL11125043TC,Natural Fresh Royal Jelly,PRODUCT APPROVED,NATURAL PRODUCT,PERNIAGAAN PANASEA,WHITE HERON PHARMACEUTICAL SDN. BHD.
201106010001N,MAL12025066NCR,VitaHealth ROBOVITES Kids' Cal+D3 Softgel,PRODUCT APPROVED,HEALTH SUPPLEMENT,VITAHEALTH BIOTECH SDN BHD,Alpha Laboratories (NZ) Limited
201308160001X,MAL13115220XC,HundredPlast Koyok,PRODUCT APPROVED,NON PRESCRIPTION,TEONG HUAT MEDICAL SDN. BHD.,P.T. INDO ABADI SARIMAKMUR
201310092016T,MAL14055025T,Xin May Men Dong Tong Extract Granules 'TI',PRODUCT APPROVED,NATURAL PRODUCT,TIAN I BIOTECH INTERNATIONAL SDN BHD,"Tian-I Pharmaceutical Co., Ltd."
201308230001T,MAL14055061TC,VITARITE ® GOLD ORAL LIQUID,PRODUCT APPROVED,NATURAL PRODUCT,VITARITE PHARMACEUTICALS SDN BHD,POON GOOR SOE MANUFACTURE SDN BHD
201009020001T,MAL11085015T,Shedan Chenpi San,PRODUCT APPROVED,NATURAL PRODUCT,SINMA MEDICAL HOLDING SDN.BHD.,"Guangdong Leiyunshang Pharmaceutical Co., Ltd."
201210302012A,MAL14055045AZ,ELIGARD 7.5MG POWDER & SOLVENT FOR SOLUTION FOR INJECTION,PRODUCT APPROVED,NEW CHEMICAL ENTITY,Astellas Pharma Malaysia Sdn Bhd,Tolmar Inc.
201209122016T,MAL13045001TC,Dahuang Plus Capsule,PRODUCT APPROVED,NATURAL PRODUCT,Gab Sdn Bhd,GREEN CARE MANUFACTURE
201208292013T,MAL13055001TC,Kungfu Oil,PRODUCT APPROVED,NATURAL PRODUCT,Gab Sdn Bhd,GREEN CARE MANUFACTURE
201309022014X,MAL14055182XC,Neobun Medicated Plaster with Ginger and Lemongrass Oil Aroma,PRODUCT APPROVED,NON PRESCRIPTION,TEONG HUAT MEDICAL SDN. BHD.,P.T. INDO ABADI SARIMAKMUR
201104122015T,MAL11105007TC,SUAN NING CAPSULE,PRODUCT APPROVED,NATURAL PRODUCT,Gossup Enterprise,QIS RESEARCH LABORATORY SDN. BHD.
201008130002T,MAL11035022T,AB SPIRULINA TABLET,PRODUCT APPROVED,NATURAL PRODUCT,ORIENT LABORATORIES SDN. BHD.,ORIENT LABORATORIES SDN. BHD.
201010220003A,MAL12065064AZ,Flucor Day PE Soft Gelatin Capsule,PRODUCT APPROVED,PRESCRIPTION,HOVID BERHAD,HOVID BERHAD
201010010001N,MAL11035012N,PROTEXIN Bio-Kult,PRODUCT APPROVED,HEALTH SUPPLEMENT,Vortexin Sdn Bhd,Probiotics International Limited
201101140001X,MAL12035009X,Maalox oral suspension in sachet,PRODUCT APPROVED,NON PRESCRIPTION,SANOFI-AVENTIS (MALAYSIA) SDN. BHD.,Sanofi S.p.A.
201011290001A,MAL12115050AZ,Hovid Alendronate 70 mg Tablet,PRODUCT APPROVED,PRESCRIPTION,HOVID BERHAD,HOVID BERHAD
201012210007T,MAL12035015T,YIMUCAO KELI,PRODUCT APPROVED,NATURAL PRODUCT,SYARIKAT NANG HIN TRADING SDN. BHD.,"GUANGDONG YIHETANG PHARMACEUTICAL CO.,LTD"
201010120016T,MAL11035004TC,Ligno Tiger Milk Mushroom,PRODUCT APPROVED,NATURAL PRODUCT,Ligno Biotech Sdn. Bhd.,Dong Foong Manufacturing Sdn Bhd
201010210004A,MAL12045002AZ,DIMAX MR TABLETS 30MG,PRODUCT APPROVED,PRESCRIPTION,AVERROES PHARMACEUTICALS SDN. BHD.,"SIU GUAN CHEM. IND.CO.,LTD."
201009300003N,MAL11015002N,USANA PROFLAVANOL C TABLET,PRODUCT APPROVED,HEALTH SUPPLEMENT,UHS ESSENTIAL HEALTH (MALAYSIA) SDN. BHD.,"USANA HEALTH SCIENCES, INC"
201105132013T,MAL13045022T,Curb n` Beauty Capsule,PRODUCT APPROVED,NATURAL PRODUCT,Bioalpha International Sdn. Bhd.,Bioalpha International Sdn. Bhd.
201009300004A,MAL11115006AZ,SOBENZ LOZENGE (ORANGE),PRODUCT APPROVED,PRESCRIPTION,Duopharma Marketing Sdn. Bhd.,DUOPHARMA MANUFACTURING (BANGI) SDN BHD
201310100001T,MAL15095011TC,VIXGO MEN HERBS CAPSULE,PRODUCT APPROVED,NATURAL PRODUCT,WORLDCLASS TRADE & INDUSTRIES,RUZA RESOURCES MANUFACTURING SDN BHD
201010120015N,MAL11075009NC,HPA Salmon Oil OMEGA GOLD Softgel,PRODUCT APPROVED,HEALTH SUPPLEMENT,HPA INDUSTRIES SDN. BHD.,Halagel Plant (M) Sdn. Bhd.
201008190002T,MAL12025004TC,J-Flex,PRODUCT APPROVED,NATURAL PRODUCT,Vm Consolidated Sdn Bhd,HERBAL SCIENCE SDN. BHD.
201106152024T,MAL12055059TC,COOL HERBAL TEA POWDER,PRODUCT APPROVED,NATURAL PRODUCT,QINGDAO HEALTHCARE CENTRE SDN BHD,SG GLOBAL BIOTECH SDN BHD
201010280001A,MAL11095001AZ,IPRANEB 500 (Ipratropium Bromide 500mcg/2mL Nebuliser Solution BP),PRODUCT APPROVED,PRESCRIPTION,AIN MEDICARE SDN. BHD.,AIN MEDICARE SDN. BHD.
201205232014X,MAL12075080XZ,XORLYX 2 Salicylic Acid 2% w/w Ointment,PRODUCT APPROVED,NON PRESCRIPTION,Xorix Sdn Bhd,Xorix Sdn Bhd
201111232013A,MAL13025038AZ,ONEGABA 600 ( Gabapentin Tablets 600mg),PRODUCT APPROVED,PRESCRIPTION,UNIMED SDN BHD,"Aurobindo Pharma Limited, Unit-VII (SEZ)"
201104262015T,MAL12115032T,Yin Qiao San Extract Granules 'Sun Ten',PRODUCT APPROVED,NATURAL PRODUCT,SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD.,SUN TEN PHARM CO LTD
201011260002A,MAL15015046AZ,Tapicin Powder For Injection 4.5g,PRODUCT APPROVED,PRESCRIPTION,Y.S.P. INDUSTRIES (M) SDN BHD,"YUNG SHIN PHARMACEUTICAL IND. CO., LTD."
201008170003T,MAL11035024TC,Whole Nature Ganoderma Tsuga,PRODUCT APPROVED,NATURAL PRODUCT,Whole Nature (m) Sdn Bhd,SG GLOBAL BIOTECH SDN BHD
201008300001A,MAL11075003AZ,Promezine Syrup 1mg/ml.,PRODUCT APPROVED,PRESCRIPTION,Y.S.P. INDUSTRIES (M) SDN BHD,Y.S.P. INDUSTRIES (M) SDN BHD
201008030001A,MAL11065001AZ,Candazole V Single Dose Cream 10% w/w,PRODUCT APPROVED,PRESCRIPTION,HOE PHARMACEUTICALS SDN. BHD.,HOE PHARMACEUTICALS SDN. BHD.
201008170004T,MAL11045001TC,Black Wood Ear,PRODUCT APPROVED,NATURAL PRODUCT,Whole Nature (m) Sdn Bhd,SG GLOBAL BIOTECH SDN BHD
201102160001A,MAL12115051AZ,"Zidovex LN (Lamivudine 150mg, Zidovudine 300mg, Nevirapine 200mg Tablets)",PRODUCT APPROVED,PRESCRIPTION,UNIMED SDN BHD,"Aurobindo Pharma Limited (Unit III),"
201008110001T,MAL11065014T,Tradi Pimple Cream,PRODUCT APPROVED,NATURAL PRODUCT,IE Lab Traditional Sdn Bhd,IE Lab Traditional Sdn Bhd
201010220008T,MAL11055013T,ENCORE,PRODUCT APPROVED,NATURAL PRODUCT,EXTRA EXCEL (MALAYSIA) SDN. BHD.,Extra Excellence Manufacturing (S) Pte. Ltd.
201011120003T,MAL12055060T,Jiawei Yinqiao Tablet,PRODUCT APPROVED,NATURAL PRODUCT,J.D. ACADEMY,"SHIJIAZHUANG YILING PHARMACEUTICAL CO.,LTD."
201108292013A,MAL12065065ACRZ,ARCOXIA 90MG TABLET,PRODUCT APPROVED,NEW CHEMICAL ENTITY,MERCK SHARP & DOHME (MALAYSIA) SDN BHD,Rovi Pharma Industrial Services S.A
201009300005A,MAL11115007AZ,SOBENZ LOZENGE (MELON),PRODUCT APPROVED,PRESCRIPTION,Duopharma Marketing Sdn. Bhd.,DUOPHARMA MANUFACTURING (BANGI) SDN BHD
201103112019A,MAL12095064AZ,Viranz 600 (Efavirenz Tablets 600 mg) ,PRODUCT APPROVED,PRESCRIPTION,UNIMED SDN BHD,Aurobindo Pharma Limited
201205022017A,MAL15045122AZ,VALZAAR-80 MG TABLETS,PRODUCT APPROVED,PRESCRIPTION,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.,TORRENT PHARMACEUTICALS LTD.
201104282014A,MAL15045123AZ,XOLSTAT TABLETS 5 mg,PRODUCT APPROVED,PRESCRIPTION,RANBAXY (MALAYSIA) SDN. BHD.,RANBAXY LABORATORIES LIMITED
201104282015A,MAL15045124AZ,XOLSTAT TABLETS 10 mg,PRODUCT APPROVED,PRESCRIPTION,RANBAXY (MALAYSIA) SDN. BHD.,RANBAXY LABORATORIES LIMITED
201104282016A,MAL15045125AZ,XOLSTAT TABLETS 20 mg,PRODUCT APPROVED,PRESCRIPTION,RANBAXY (MALAYSIA) SDN. BHD.,RANBAXY LABORATORIES LIMITED
201109062015A,MAL12015019AZ,Diphendry Syrup,PRODUCT APPROVED,PRESCRIPTION,ROYCE PHARMA MANUFACTURING SDN. BHD.,ROYCE PHARMA MANUFACTURING SDN. BHD.
201011120005A,MAL16025030AZ,Cefim Powder for Injection 0.5g,PRODUCT APPROVED,PRESCRIPTION,Y.S.P. INDUSTRIES (M) SDN BHD,"YUNG SHIN PHARMACEUTICAL IND. CO., LTD."
201009210001T,MAL11125044T,Zheng Ren Shen Chang Cao Plus Gao ,PRODUCT APPROVED,NATURAL PRODUCT,PEMBEKALAN UBAT HUATHAI SDN. BHD.,PEMBEKALAN UBAT HUATHAI SDN. BHD.
201008230001T,MAL11055023T,GIFFARINE Curcuma Capsule,PRODUCT APPROVED,NATURAL PRODUCT,Giffarine Skyline Unity (M) Sdn. Bhd.,Skyline Health Care Co. Ltd
201009200002T,MAL11125045T,Giffarine Gotu Kola Capsule,PRODUCT APPROVED,NATURAL PRODUCT,Giffarine Skyline Unity (M) Sdn. Bhd.,Skyline Health Care Co. Ltd
201010260006A,MAL11085001AZ,AIRLUKAST TABLETS 10 mg,PRODUCT APPROVED,PRESCRIPTION,RANBAXY (MALAYSIA) SDN. BHD.,RANBAXY (MALAYSIA) SDN. BHD.
201208082014T,MAL13035006T,AL-Haba Ganoderma Spore Capsule,PRODUCT APPROVED,NATURAL PRODUCT,Phyto Herbal Industries Sdn Bhd,Phyto Herbal Industries Manufacturing Sdn Bhd.
201108252017N,MAL12015012NC,Shaklee LECITHIN Softgel,PRODUCT APPROVED,HEALTH SUPPLEMENT,SHAKLEE PRODUCTS (MALAYSIA) SDN. BHD.,NUTRA MANUFACTURING INC
201108042013T,MAL12055061T,BTY MISTURA XIN WEN JING (Liquid),PRODUCT APPROVED,NATURAL PRODUCT,BTY WORLDWIDE SDN.BHD.,BTY WORLDWIDE SDN.BHD.
201108190001A,MAL13025039AZ,OxyNorm 5mg/5ml Oral Solution,PRODUCT APPROVED,NEW CHEMICAL ENTITY,MUNDIPHARMA PHARMACEUTICALS SDN. BHD.,Mundipharma Pharmaceuticals Ltd.
201103090001A,MAL12045004ACZ,Clavomax 625mg Tablet,PRODUCT APPROVED,PRESCRIPTION,Abio Marketing Sdn Bhd,CHINA CHEMICAL & PHARMACEUTICAL COMPANY LTD. TAICHUNG PLANT
201106062015N,MAL11125026NC,BELVEA Begin Formula,PRODUCT APPROVED,HEALTH SUPPLEMENT,Capsule Pharma Trading,NOVA LABORATORIES SDN. BHD.
201108042042A,MAL14055148AZ,Montiget Chewable tablets 5mg,PRODUCT APPROVED,PRESCRIPTION,MEDISPEC (M) SDN.BHD,GETZ PHARMA (PVT) LIMITED
201107150001T,MAL12035016TC,LJACK URYCOMA 350mg,PRODUCT APPROVED,NATURAL PRODUCT,LJACK (M) SDN BHD,Reishilab Sdn Bhd
201010120012T,MAL11125046TC,KB RED RASPBERRY CAPSULE,PRODUCT APPROVED,NATURAL PRODUCT,KIN BIO GLOBAL SDN BHD,Kin Herbs Pharma Sdn. Bhd.
201105122012T,MAL11125047T,BTY JIE BIAO HUA YIN KE LI  (Granule),PRODUCT APPROVED,NATURAL PRODUCT,BTY WORLDWIDE SDN.BHD.,BTY WORLDWIDE SDN.BHD.
201102110001A,MAL15045058AZ,Azithromycin Powder For Oral Suspension 200mg/5ml Lesvi Lab,PRODUCT APPROVED,PRESCRIPTION,ZIWELL MEDICAL SDN BHD,"LABORATORIOS LESVI, S.L."
201309040001A,MAL16045026AZ,SUCROFER Iron Sucrose Injection USP 20mg/ml,PRODUCT APPROVED,PRESCRIPTION,BioCare Pharmaceutical (M) Sdn. Bhd.,BAXTER PHARMACEUTICALS INDIA PRIVATE LIMITED
201112130001N,MAL13125062N,ROYCE Khaltate Calcium Lactate 300mg Tablet,PRODUCT APPROVED,HEALTH SUPPLEMENT,ROYCE PHARMA MANUFACTURING SDN. BHD.,ROYCE PHARMA MANUFACTURING SDN. BHD.
201010210010T,MAL11085017T,Gynita NatureCare Evening Primrose Oil 1000mg,PRODUCT APPROVED,NATURAL PRODUCT,LONNIX (M) SDN. BHD.,LONNIX (M) SDN. BHD.
201010140005A,MAL11115019AZ,RIMONID Ophthalmic Solution 0.2%,PRODUCT APPROVED,PRESCRIPTION,Gopharma Sdn. Bhd.,MICRO LABS LTD
201104042014A,MAL12035002AZ,Betalin Cream 0.05%w/w,PRODUCT APPROVED,PRESCRIPTION,AVERROES PHARMACEUTICALS SDN. BHD.,"SIU GUAN CHEM. IND.CO.,LTD."
201103022014A,MAL12025053AZ,Salic Ointment,PRODUCT APPROVED,PRESCRIPTION,AVERROES PHARMACEUTICALS SDN. BHD.,"SIU GUAN CHEM. IND.CO.,LTD."
201103250001A,MAL12065066AZ,LETROTAS 2.5MG TABLET,PRODUCT APPROVED,PRESCRIPTION,JETPHARMA SDN. BHD.,INTAS PHARM LTD
201104220001A,MAL12095065AZ,Stritoxol Paclitaxel Concentrate For Solution For Infusion 6 mg/ mL,PRODUCT APPROVED,PRESCRIPTION,MYLAN HEALTHCARE SDN. BHD.,Mylan Laboratories Limited (OTL)
201012170001A,MAL11045012AZ,FENO-TG 160mg tablet,PRODUCT APPROVED,PRESCRIPTION,UNIMED SDN BHD,Troikaa Pharmaceuticals Ltd
201011111001T,MAL11125048TC,XIE'S BRAND XP GOLDEN PILL,PRODUCT APPROVED,NATURAL PRODUCT,Premier Herbs Sdn Bhd,SG GLOBAL BIOTECH SDN BHD
201011030003A,MAL12055014AZ,DP-Anastrozole 1mg Tablet,PRODUCT APPROVED,PRESCRIPTION,SCHMIDT BIOMEDTECH SDN BHD,DOUGLAS MANUFACTURING LTD
201012060001A,MAL11095002AZ,Conpanzole Enteric Coated Tablet 20mg,PRODUCT APPROVED,PRESCRIPTION,Y.S.P. INDUSTRIES (M) SDN BHD,Y.S.P. INDUSTRIES (M) SDN BHD
201008200001A,MAL11105001AZ,Flutinide Nasal Spray 50mcg/dose,PRODUCT APPROVED,PRESCRIPTION,HOE PHARMACEUTICALS SDN. BHD.,HOE PHARMACEUTICALS SDN. BHD.
201012060002A,MAL11095003AZ,Conpanzole Enteric Coated Tablet 40mg,PRODUCT APPROVED,PRESCRIPTION,Y.S.P. INDUSTRIES (M) SDN BHD,Y.S.P. INDUSTRIES (M) SDN BHD
201108102012T,MAL12075029TCR,VitaHealth Fenugreek Complex Capsule,PRODUCT APPROVED,NATURAL PRODUCT,VITAHEALTH BIOTECH SDN BHD,ARNET PHARMACEUTICAL CORPORATION
201203152013A,MAL13035064AZ,SII Tetanus Toxoid Vaccine Adsorbed,PRODUCT APPROVED,BIOLOGICS,SM PHARMACEUTICALS SDN. BHD.,SERUM INSTITUTE OF INDIA PRIVATE LIMITED
201108042015T,MAL12115033T,BTY MISTURA XIN YANG HE (Liquid),PRODUCT APPROVED,NATURAL PRODUCT,BTY WORLDWIDE SDN.BHD.,BTY WORLDWIDE SDN.BHD.
201108252018N,MAL12015013NC,Shaklee OMEGA GUARD,PRODUCT APPROVED,HEALTH SUPPLEMENT,SHAKLEE PRODUCTS (MALAYSIA) SDN. BHD.,NUTRA MANUFACTURING INC
201108252021N,MAL12075024NC,Shaklee VITA-E COMPLEX Softgel,PRODUCT APPROVED,HEALTH SUPPLEMENT,SHAKLEE PRODUCTS (MALAYSIA) SDN. BHD.,NUTRA MANUFACTURING INC
201110032017A,MAL14125062AZ,HP Gabapentin Capsule 300 mg,PRODUCT APPROVED,PRESCRIPTION,Hovid Pharmacy Sdn. Bhd.,HOVID BERHAD
201108042019T,MAL12055063T,BTY MISTURA XIN ZHEN GAN XI FENG (Liquid),PRODUCT APPROVED,NATURAL PRODUCT,BTY WORLDWIDE SDN.BHD.,BTY WORLDWIDE SDN.BHD.
201010255501A,MAL11035011AZ,GOUTNOR 0.6MG TABLET,PRODUCT APPROVED,PRESCRIPTION,Noripharma Sdn. Bhd.,Noripharma Sdn. Bhd.
201010290005A,MAL14055010AZ,Clarem Film-Coated Tablet 500 mg,PRODUCT APPROVED,PRESCRIPTION,EUCOGEN SDN BHD,Remedica Ltd
201011030004A,MAL12065067AZ,Clopine 50mg/ml oral suspension,PRODUCT APPROVED,PRESCRIPTION,SCHMIDT BIOMEDTECH SDN BHD,Douglas Pharmaceuticals Limited
201104112014A,MAL13055053AZ,Demealran Tablets 10 mg,PRODUCT APPROVED,PRESCRIPTION,RANBAXY (MALAYSIA) SDN. BHD.,Sun Pharmaceutical Industries Limited
201107292024T,MAL12055064T,BTY MISTURA XIN SHU JING GE GEN (Liquid),PRODUCT APPROVED,NATURAL PRODUCT,BTY WORLDWIDE SDN.BHD.,BTY WORLDWIDE SDN.BHD.
201011120001A,MAL12015002AZ,GPO-L-One Tablet 500mg,PRODUCT APPROVED,PRESCRIPTION,IMEKS PHARMA SDN. BHD.,The Government Pharmaceutical Organization
201009070002T,MAL11055010T,ONE MB Capsule 400mg,PRODUCT APPROVED,NATURAL PRODUCT,SERI MH UMMI SDN BHD,SERI MH UMMI SDN BHD
201012155502A,MAL12045005AZ,"Posicaine 200 (Articaine Hydrochloride 4% with Epinephrine/Adrenaline 1:200,000 Injection)",PRODUCT APPROVED,PRESCRIPTION,Galla Dental Corporation Sdn Bhd,"Novocol Pharmaceutical of Canada, Inc."
201012240002T,MAL12035017TC,Q-Origin Powder,PRODUCT APPROVED,NATURAL PRODUCT,VERRISON BIO PHARMACEUTICAL SDN. BHD.,YANLING NATURAL HYGIENE SDN. BHD.
201106202015N,MAL11115023NCR,BLACKMORES NUTRIMULTI MULTI + WHOLEFOOD NUTRIENTS TABLETS,PRODUCT APPROVED,HEALTH SUPPLEMENT,BLACKMORES (MALAYSIA) SDN. BHD.,CATALENT AUSTRALIA PTY LTD
201109272016T,MAL12105002TC,BA BAO SHUANG LIAO FENG RE SAN,PRODUCT APPROVED,NATURAL PRODUCT,Tai-kong Medicine Enterprise,QIS RESEARCH LABORATORY SDN. BHD.
201105262024T,MAL12045060TC,JAMU WANE-TA Kapsul 400mg,PRODUCT APPROVED,NATURAL PRODUCT,DZ HEALTH & COSMETIC MARKETING,RPM HERBS INDUSTRIES
201105230001A,MAL12055001ACRZ,TARGIN PROLONGED RELEASE TABLETS 10MG/5MG,PRODUCT APPROVED,NEW CHEMICAL ENTITY,MUNDIPHARMA PHARMACEUTICALS SDN. BHD.,Bard Pharmaceuticals Limited
201107142013A,MAL12035003AZ,ZORALIX 5 SF Elixir 5mg/5ml,PRODUCT APPROVED,PRESCRIPTION,HOE PHARMACEUTICALS SDN. BHD.,HOE PHARMACEUTICALS SDN. BHD.
201009020002T,MAL11085024T,Shedan Chuanbei San,PRODUCT APPROVED,NATURAL PRODUCT,SINMA MEDICAL HOLDING SDN.BHD.,"Guangdong Leiyunshang Pharmaceutical Co., Ltd."
201101050001T,MAL12055066TC,Nivaranii Herbal Honey,PRODUCT APPROVED,NATURAL PRODUCT,Star Medicinal Sdn.bhd.,PENAWAR INDUSTRIES SDN. BHD.
201010060003T,MAL11015004T,GKB Cordyceps Sinensis 344.75mg Chewable Tablet,PRODUCT APPROVED,NATURAL PRODUCT,GK BIO INTERNATIONAL SDN. BHD. ,Bioalpha International Sdn. Bhd.
201011100001T,MAL12055067TC,activQi MPWR-1 Chewable Tablet,PRODUCT APPROVED,NATURAL PRODUCT,ACTIVQI SDN BHD,SARI TANI DESA SDN. BHD.
201104202012T,MAL12045061TC,BioClear Capsules,PRODUCT APPROVED,NATURAL PRODUCT,Abio Marketing Sdn Bhd,HERBAL SCIENCE SDN. BHD.
201101120001A,MAL15085003AZ,Apo-Atorvastatin 20mg Tablet,PRODUCT APPROVED,PRESCRIPTION,PHARMAFORTE (MALAYSIA) SDN. BHD.,APOTEX INC
201307012015N,MAL13085019NCR,LifeSenze™ Fish Oil 1200mg Plus Softgel,PRODUCT APPROVED,HEALTH SUPPLEMENT,BIO-SCIENCE MARKETING SDN. BHD.,ALPHA LABORATORIES (NZ) LIMITED
201010120007T,MAL12025006TC,ZHAO'S BRAND NEWPI,PRODUCT APPROVED,NATURAL PRODUCT,Premier Herbs Sdn Bhd,SG GLOBAL BIOTECH SDN BHD
201304092013T,MAL14015024T,F.E. PFAFFIA,PRODUCT APPROVED,NATURAL PRODUCT,F.E. VENTURE MARKETING SDN. BHD.,F.E. VENTURE MARKETING SDN. BHD.
201104262012N,MAL11115024NCR,AJ1 Platinum Squalene Softgel,PRODUCT APPROVED,HEALTH SUPPLEMENT,ORIONIX SDN BHD,SUHEUNG CAPSULE CO. LTD.
201008230002T,MAL11065007TC,JAMU RAHSIA KAPSUL RESDUNG 400mg,PRODUCT APPROVED,NATURAL PRODUCT,SABIT BANANI INDUSTRIES SDN BHD,SABIT BANANI INDUSTRIES SDN BHD
