nama_premis,alamat,nama_jalan,bandar,daerah,negeri,poskod,jenis_urus_niaga,pdl_pp_tkh_kuatkuasa_hingga
AEON Co. (M) Bhd [AEON WELLNESS],"Lot C-08, Intermark Mall","The Intermark, 348, Jalan Tun Razak",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,50400,Runcit,2020/12/31 00:00:00.000
AEON Co. (M) Bhd [AEON Wellness],"Lot G12B, AEON Bukit Indah, 8","Jalan Indah 15/2, Taman Bukit Indah",Iskandar Puteri,Johor Bahru,Johor,79100,Runcit,2020/12/31 00:00:00.000
Aeon Co. (M) Bhd [Aeon Wellness],"Lot G62-W, Tingkat Bawah, Aeon Mall Shah Alam No. 1","Jalan Akuatik 13/64, Seksyen 13",Shah Alam,Petaling,Selangor,40100,Runcit,2020/03/31 00:00:00.000
AEON CO. (M) BHD [AEON WELLNESS],LOT 31 AEON TAMAN MALURI SHOPPING CENTRE,"AEON Taman Maluri, Jalan Jejaka, Taman Maluri, Cheras",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,55100,Runcit,2020/12/31 00:00:00.000
AEON Co. (M) Bhd [AEON Wellness],"Lot No. F-032&033, The Mall, Midvalley Southkey","Persiaran Southkey 1, Kota Southkey",Johor Bahru,Johor Bahru,Johor,80150,Runcit,2020/12/31 00:00:00.000
AEON Co. (M) Bhd Wellness The Sphere,"Unit LG-1B, Level LG","The Sphere, No. 1, Avenue 1, Bangsar South, No 8, Jalan Kerinchi",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,59200,Runcit,2020/12/31 00:00:00.000
AEON CO. (M) BHD. [AEON WELLNESS],"G-A01, Ground Floor,  Pusat Beli-Belah AEON NILAI,","Persiaran Pusat Bandar, Putra Point, Putra Nilai",Nilai,Seremban,Negeri Sembilan,71800,Runcit,2020/12/31 00:00:00.000
AEON CO.(M) BERHAD [AEON WELLNESS],"Lot G32, Ground Floor, Kinta City Shopping Centre",Jalan Teh Lean Swee,Ipoh,Kinta,Perak,31400,Runcit,2020/12/31 00:00:00.000
Aeon Co.(M) Berhad [AEON Wellness],"Lot G60-W, AEON Mall Taiping, Lot 8576 & 8577",Jalan Kamunting,Kamunting,"Larut, Matang & Selama",Perak,34600,Runcit,2020/12/31 00:00:00.000
AFDZAL CONSULTANCY SDN BHD [FARMASI DOC'S STATION],34A,"Lorong Bertam Indah 12, Taman Bertam Indah",Kepala Batas,Seberang Perai Utara,Pulau Pinang,13200,Borong & Runcit,2020/12/31 00:00:00.000
AFG PHARMA SDN BHD [ALSYIFAA FARMASI],No 8,"Jalan Makmur Utama, Presint Niaga, Bandar Satelit Muadzam Shah",Muadzam Shah,Rompin,Pahang,26700,Borong & Runcit,2020/12/31 00:00:00.000
AFIFAH ASMAIN ENTERPRISE [FARMASI LUQMAN],"No 5, Tingkat Bawah","Lorong KM2, Taman Kamunting Mutiara",Kamunting,"Larut, Matang & Selama",Perak,34600,Runcit,2020/12/31 00:00:00.000
AFTER 9 PHARMACY,"Lot 935, Block 15, Batu Niah Bazaar",Jalan Batu Niah,Miri,Miri,Sarawak,98200,Runcit,2020/12/31 00:00:00.000
AGAPE PHARMACY,"No. 328, Ground Floor, Parkcity Commercial Square",Jalan Tun Ahmad Zaidi,Bintulu,Bintulu,Sarawak,97000,Runcit,2020/12/31 00:00:00.000
AGROWHEALTH GLOBAL SDN. BHD. [ZUFFA FARMASI],3E,"Kompleks Sri Awona, Pekan Tikam Batu",Tikam Batu,Kuala Muda,Kedah,08600,Runcit,2020/12/31 00:00:00.000
AHM GT RESOURCES [Farmasi Aisyah],73-G,Jalan Warisan Sentral 1 KIP Sentral Kota Warisan,Sepang,Sepang,Selangor,43900,Borong & Runcit,2020/12/31 00:00:00.000
AI Care 360 Pharmacy Sdn. Bhd.,39,"Jalan Badik 1, Taman Sri Tebrau",Johor Bahru,Johor Bahru,Johor,80050,Runcit,2020/12/31 00:00:00.000
Aidan Azman Enterprise [Farmasi Ivory],No 61-G-A & No 61-G-B,Jalan 7A/3 Medan Puteri Shop Bandar Tasik Puteri,Rawang,Gombak,Selangor,48020,Runcit,2020/12/31 00:00:00.000
Aisy Pharmacy [Farmasi Ihsan],RK 32,"Jalan PLC, Pusat Perniagaan Lubok China",Lubok China,Alor Gajah,Melaka,78100,Runcit,2020/12/31 00:00:00.000
AK PHARMA (M) SDN BHD [FARMASI AK],"No 6, Tingkat Bawah","Jalan Kaskas 3, Taman Cheras",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,56100,Borong & Runcit,2020/12/31 00:00:00.000
AL AMEEN HEALTHCARE SDN BHD [FARMASI MARMIN],"No 7, Tingkat Bawah, Jalan Seri Dagangan 1",Pusat Perdagangan Peramu Jaya,Pekan,Pekan,Pahang,26600,Borong & Runcit,2020/12/31 00:00:00.000
AL AMEEN HEALTHCARE SDN BHD [FARMASI MARMIN],"No 8, Tingkat Bawah",Lorong Mawar 1,"Pusat Industri Ketapang, Pekan",Pekan,Pahang,26600,Runcit,2020/12/31 00:00:00.000
AL AMEEN HEALTHCARE SDN BHD [FARMASI MARMIN],"No 19, Bengkel IKS Chini",Bandar Chini,Chini,Pekan,Pahang,26690,Runcit,2020/12/31 00:00:00.000
AL AMEEN HEALTHCARE SDN BHD [FARMASI MARMIN],A-25,"Jalan Bandar Gambang 1, Pusat Komersial Bandar Gambang 1, Gambang",Kuantan,Kuantan,Pahang,26300,Runcit,2020/12/31 00:00:00.000
AL AUF HEALTHCARE,15,Dataran Perpaduan 1 Taman Bercham Raya,Ulu Kinta,Kinta,Perak,31150,Runcit,2020/12/31 00:00:00.000
Al Baek Farmasi Sdn Bhd [Farmasi Al Baek],No 12G,Medan Bukit Indah 4 Taman Bukit Indah,Ampang,Hulu Langat,Selangor,68000,Runcit,2020/12/31 00:00:00.000
Al Baitar Health [Farmasi Parit Yusof],12,"Pusat Perniagaan Parit Yusof, Jalan Pekan Baru 1",Semerah,Batu Pahat,Johor,83610,Runcit,2020/12/31 00:00:00.000
AL HIJRAH PHARMACY [AL HIJRAH PHARMACY],LOT 8006,Bandar Satelit Islam,Pasir Tumboh,Kota Bharu,Kelantan,16150,Runcit,2020/12/31 00:00:00.000
AL PHARMACY,"Lot 5061, Block 10, Matang LD (S/L3), Ground Floor 3 Pusat Komersil Moyan Square",Jalan Batu Kawa/ Tondong,Kuching,Kuching,Sarawak,93250,Runcit,2020/12/31 00:00:00.000
AL-Ameen Healthcare Sdn. Bhd. [Farmasi Marmin],No 8,Wisma MDT 1,Wakaf Bharu,Tumpat,Kelantan,16250,Runcit,2020/12/31 00:00:00.000
ALAM MAHA MEDICAL SDN BHD [FARMASI ALAM MAHA],"NO 3, TINGKAT BAWAH","Kompleks Perniagaan Taman Saga, Jalan Alor Mengkudu",Alor Setar,Kota Setar,Kedah,05400,Runcit,2020/12/31 00:00:00.000
ALAMANDA PHARMACY [FARMASI ALAMANDA],"Lot 50058, Tingkat Bawah,",Jalan Kemaman-Dungun,Kerteh,Kemaman,Terengganu,24300,Runcit,2020/12/31 00:00:00.000
Alchemist Pharmacy Sdn Bhd,"74, Tingkat Bawah","Jalan Burhanuddin Helmi, Taman Tun Dr Ismail,",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,60000,Runcit,2020/12/31 00:00:00.000
Alex Pharmacy,No 19,Jalan SS 2/75,Petaling Jaya,Petaling,Selangor,47300,Runcit,2020/12/31 00:00:00.000
Ali Healthcare [Farmasi Ali],G3,"Jalan Kerambit 3, Bandar Baru Sg. Udang",Melaka,Melaka Tengah,Melaka,76300,Runcit,2020/12/31 00:00:00.000
Alive Pharmacy Sdn Bhd [Alive Pharmacy],No 3G,Jalan Anggerik Vanilla M 31/M Kota Kemuning,Shah Alam,Petaling,Selangor,40460,Runcit,2020/12/31 00:00:00.000
Alive Pharmacy Sdn Bhd [Alive Pharmacy],35G,Jalan Flora 2/2 Bandar Rimbayu,Telok Panglima Garang,Kuala Langat,Selangor,42500,Runcit,2020/12/31 00:00:00.000
ALL CARE PHARMACY,No. 77,Jalan Tan Sit Leong,Kapit,Kapit,Sarawak,96800,Runcit,2020/12/31 00:00:00.000
All Care Pharmacy,"Lot 6, Blok I Tingkat Bawah, Bandar Sibuga Jaya, Batu 8, Peti Surat 364",Jalan Labuk,Sandakan,Sandakan,Sabah,90704,Runcit,2020/12/31 00:00:00.000
ALL DAY PHARMACY SDN BHD,34,"Jalan MJ1, Taman Merdeka Jaya",Batu Berendam,Melaka Tengah,Melaka,75350,Runcit,2020/12/31 00:00:00.000
ALL DAY PHARMACY SDN BHD,"LOT G04 & G05, Mydin Mall",MITC,Ayer Keroh,Melaka Tengah,Melaka,75450,Runcit,2020/12/31 00:00:00.000
All Day Pharmacy Sdn Bhd [All Day Pharmacy],No 125C & 125D,Jalan Malinja Site B,Sekinchan,Sabak Bernam,Selangor,45400,Runcit,2020/12/31 00:00:00.000
All Day Pharmacy Sdn Bhd [All Day Pharmacy],No.12,Jalan Bendahara 1/1 Taman Bendahara,Kuala Selangor,Kuala Selangor,Selangor,45000,Runcit,2020/12/31 00:00:00.000
All Day Pharmacy Sdn Bhd [ALLDAY PHARMACY],"Lot 492 Ground, 1st & 2nd Floor",Jalan Besar Sungai Pelek,Sungai Pelek,Sepang,Selangor,43950,Borong & Runcit,2020/12/31 00:00:00.000
All Day Pharmacy Sdn Bhd [ALLDAY PHARMACY],No 10 Tingkat Bawah,Jalan Kasawari 5 Taman Eng Ann,Klang,Klang,Selangor,41150,Runcit,2020/12/31 00:00:00.000
All Day Pharmacy Sdn Bhd [ALLDAY PHARMACY],No 80 Tingkat Bawah,Jalan Besar Pekan Kapar,Klang,Klang,Selangor,42200,Runcit,2020/12/31 00:00:00.000
All Day Pharmacy Sdn Bhd [ALLDAY PHARMACY],No 38,Jalan Dato Yusof Shahbudin 29 Taman Sentosa,Klang,Klang,Selangor,41200,Runcit,2020/12/31 00:00:00.000
All Day Pharmacy Sdn Bhd [ALLDAY PHARMACY],Mydin Mall Lot F-15 First Floor,Persiaran Subang Permai Usj 1,Subang Jaya,Petaling,Selangor,47500,Runcit,2020/12/31 00:00:00.000
All Day Pharmacy Sdn Bhd [ALLDAY PHARMACY],No 5,Jalan Tengku Ampuan Zabedah E 9/E Seksyen 9,Shah Alam,Petaling,Selangor,40100,Runcit,2020/12/31 00:00:00.000
All Day Pharmacy Sdn Bhd [ALLDAY PHARMACY],No 52,Jalan Pinang C 18/C Seksyen 18,Shah Alam,Petaling,Selangor,40000,Runcit,2020/12/31 00:00:00.000
All Day Pharmacy Sdn Bhd [ALLDAY PHARMACY],No 1 Ground Floor,Lebuh Gopeng Off Jalan Goh Hock Huat,Klang,Klang,Selangor,41400,Runcit,2020/12/31 00:00:00.000
All Day Pharmacy Sdn Bhd [AllDay Pharmacy],No 21 Tingkat Bawah,Jalan Rodat 1 Bandar Bukit Raja,Klang,Klang,Selangor,41050,Runcit,2020/12/31 00:00:00.000
All Day Pharmacy Sdn Bhd [ALLDAY PHARMACY],11,Jalan SL 1/4 Bandar Sg. Long Cheras,Kajang,Hulu Langat,Selangor,43000,Runcit,2020/12/31 00:00:00.000
All Day Pharmacy Sdn Bhd [ALLDAY PHARMACY],364,Jalan 1A/3 Bandar Baru Sungai Buloh Seksyen U20,Sungai Buloh,Petaling,Selangor,40160,Runcit,2020/12/31 00:00:00.000
All Day Pharmacy Sdn Bhd [ALLDAY PHARMACY],No 5,Jalan 11A Selayang Baru,Batu Caves,Gombak,Selangor,68100,Borong & Runcit,2020/12/31 00:00:00.000
All Day Pharmacy Sdn Bhd [ALLDAY PHARMACY],No 14,"Jalan Temenggong, Taman Desawira",Telok Panglima Garang,Kuala Langat,Selangor,42500,Runcit,2020/12/31 00:00:00.000
All Day Pharmacy Sdn Bhd [ALLDAY PHARMACY],No 41-G,Lorong Sanggul 1F Bandar Puteri,Klang,Klang,Selangor,41200,Runcit,2020/12/31 00:00:00.000
All Day Pharmacy Sdn Bhd [ALLDAY PHARMACY],No. 52A (Ground Floor),Jalan SL 1/3 Bandar Sungai Long,Kajang,Hulu Langat,Selangor,43000,Runcit,2020/12/31 00:00:00.000
All Day Pharmacy Sdn. Bhd.,No 5.,"Jalan Rahmat 2, Taman Malim Jaya",Melaka,Melaka Tengah,Melaka,75250,Runcit,2020/12/31 00:00:00.000
ALL DAY PHARMACY SDN. BHD. [ALLDAY PHARMACY],No. 87-G,"Jalan Taman Komersial Senawang 4, Taman Komersial Senawang",Seremban,Seremban,Negeri Sembilan,70450,Runcit,2020/12/31 00:00:00.000
ALL HEALTH MEDICAL SUPPLIES,"Lot 124, Section 62, Ground Floor, No. 280",Jalan Datuk Wee Kheng Chiang,Kuching,Kuching,Sarawak,93450,Borong & Runcit,2020/12/31 00:00:00.000
ALLDAY PHARMACY SDN. BHD.,NO. 8,"Jalan Kerambit 1, Bandar Baru Sungai Udang",Melaka,Melaka Tengah,Melaka,76300,Runcit,2020/12/31 00:00:00.000
ALLIANCE PHARMACY,26,Jalan Sungai Batu,Pantai Remis,Manjung,Perak,34900,Borong & Runcit,2020/12/31 00:00:00.000
ALLIED PHARMACY SDN BHD,8,"Jalan Metro Pudu 2, Fraser Business Park, Off Jalan Yew,",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,55100,Borong & Runcit,2020/12/31 00:00:00.000
Allin Pharmacy,60,Jalan SS 22/25 Damansara Jaya,Petaling Jaya,Petaling,Selangor,47400,Runcit,2020/12/31 00:00:00.000
Ally Compounding Pharma Sdn Bhd [Ally Pharma],No 5-1,Jalan Puteri 2/6 Bandar Puteri,Puchong,Petaling,Selangor,47100,Runcit,2020/12/31 00:00:00.000
Aloeva Pharmacy,NO 832-C,"Jalan Taman Dato Senu, Sentul",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,51000,Runcit,2020/12/31 00:00:00.000
Alphard Pharmacy Sdn Bhd [Alpro Pharmacy],No 28 Ground Floor,Jalan TPS 1/4 Taman Pelangi Semenyih,Semenyih,Hulu Langat,Selangor,43500,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE (JR) SDN BHD [FARMASI ALPRO],NO 43,"Jalan Austin Heights 3, Taman Mount Austin",Tebrau,Johor Bahru,Johor,81100,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE (PAHANG) SDN BHD,Lot 120 & 121,Jalan Sulaimani,Bandar Chukai,Kemaman,Terengganu,24000,Borong & Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE (PAHANG) SDN BHD [FARMASI ALPRO],"No 39, Lorong Pandan Permai 2",Batu 7,"Taman Tas, Kuantan",Kuantan,Pahang,25150,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE (PAHANG) SDN BHD [FARMASI ALPRO],"A-401, Taman Seri Kuantan 111",Jalan Beserah,Kuantan,Kuantan,Pahang,25300,Borong & Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE (PAHANG) SDN BHD [FARMASI ALPRO],No 113,Jalan Chan Siang Sun,Bentong,Bentong,Pahang,28700,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE (PAHANG) SDN BHD [FARMASI ALPRO],No 39,Jalan Mahkota,Kuantan,Kuantan,Pahang,25000,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE (PAHANG) SDN BHD [FARMASI ALPRO],No 80,Jalan Melati
,Mentakab,Temerloh,Pahang,28400,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE (PAHANG) SDN BHD [FARMASI ALPRO],"B12 & B14, Lorong Pasar Baru 4",Jalan Tun Ismail,Kuantan,Kuantan,Pahang,25000,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE (PAHANG) SDN BHD [FARMASI ALPRO],"PT 1713, Ground Floor,",Jalan Raja Perempuan Zainab II,kubang kerian,Kota Bharu,Kelantan,16150,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE (PAHANG) SDN BHD [FARMASI ALPRO],"S/48 Lot 1368, Tingkat Bawah, Taman Koperatif",Jalan Long Yunus,Kota Bharu,Kota Bharu,Kelantan,15200,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE (PAHANG) SDN BHD [FARMASI ALPRO],"7750, Taman Bersekutu",Jalan Kubang Kurus,Kemaman,Kemaman,Terengganu,24000,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE (PAHANG) SDN BHD [FARMASI ALPRO],"A-45, Ground Floor",Lorong IM 3/19,"Bandar Indera Mahkota, Kuantan",Kuantan,Pahang,25200,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE (PAHANG) SDN BHD [FARMASI ALPRO],"A39, Ground Floor",Jalan Bukit Setongkol,Kuantan,Kuantan,Pahang,25200,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE (PAHANG) SDN BHD [FARMASI ALPRO],NO 515 GROUND FLOOR,Jalan Dato' Nik Mustapha,Tanah Merah,Tanah Merah,Kelantan,17500,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE (PAHANG) SDN BHD [FARMASI ALPRO],42,Jalan Sultan Ismail,Kuala Terengganu,Kuala Terengganu,Terengganu,20200,Borong & Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE (PAHANG) SDN BHD [FARMASI ALPRO],K-205,Jalan Sura Gate,Dungun,Dungun,Terengganu,23000,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE (PAHANG) SDN BHD [FARMASI ALPRO],No 84,"Lorong Intan 2, Nadi Kota","Bandar Tun Abdul Razak, Jengka",Maran,Pahang,26400,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE (PAHANG) SDN BHD [FARMASI ALPRO],"No 5, Tingkat Bawah",Jalan Setia Utama,Bandar Bentara Tumpat,Tumpat,Kelantan,16200,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE (PAHANG) SDN BHD [FARMASI ALPRO],LOT 6 & 7,Jalan Sultan Yahya Petra,Kota Bharu,Kota Bharu,Kelantan,15200,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE (PAHANG) SDN BHD [FARMASI ALPRO],"No 42, Ground Floor",Jalan Sultan Abdullah,Pekan,Pekan,Pahang,26600,Runcit,2020/12/31 00:00:00.000
Alpro Alliance (Pahang) Sdn. Bhd. [FARMASI ALPRO],42,Jalan Sultan Ismail,.,Kuala Terengganu,Terengganu,20200,Borong & Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE (PENANG) SDN BHD [FARMASI ALPRO],110-01-01,"Persiaran Bayan Indah, Summerton",Bayan Lepas,Barat Daya,Pulau Pinang,11900,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE (PENANG) SDN BHD [FARMASI ALPRO],NO 52A,Lintang Angsana,Farlim,Timur Laut,Pulau Pinang,11500,Borong & Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE (PENANG) SDN BHD [FARMASI ALPRO],NO.37,"Jalan Todak 6, Pusat Komersial Sunway Perdana",Perai,Seberang Perai Tengah,Pulau Pinang,13700,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE (PENANG) SDN BHD [FARMASI ALPRO],NO 72,Jalan Besar,Balik Pulau,Barat Daya,Pulau Pinang,11000,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE (PENANG) SDN BHD [FARMASI ALPRO],"10,12","Jalan Tembikai, Taman Mutiara",Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang,14000,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE (PENANG) SDN BHD [FARMASI ALPRO],25,Lebuh Chulia,Georgetown,Timur Laut,Pulau Pinang,10200,Runcit,2020/12/31 00:00:00.000
