MAL08111763TC,B & S Golden Herbal Wine,NATURAL PRODUCT,00:00.0,00:00.0,53:27.0,B & S TCM HEALTH CENTRE,COPIAL CORPORATION SDN BHD
MAL06111399TC,OptiBrite Capsules 500mg,NATURAL PRODUCT,00:00.0,00:00.0,53:27.0,Legosan (Malaysia) Sdn Bhd,YANLING NATURAL HYGIENE SDN. BHD.
MAL07061405TC,Mas Cotek Serapat Wangi Plus,NATURAL PRODUCT,00:00.0,00:00.0,53:27.0,URAZ CORPORATION SDN BHD,VITARITE PHARMACEUTICALS SDN BHD
MAL07021505T,JABBAR HIDAYAH HB PLUS CAPSULES,NATURAL PRODUCT,00:00.0,00:00.0,53:27.0,Jabbar Herbs Manufacturing Sdn Bhd,JABBAR HERBS MANUFACTURING SDN. BHD.
MAL20122202T,NutraMutiara Oil,NATURAL PRODUCT,00:00.0,00:00.0,53:27.0,Nutralabs,SYARIKAT MUTIARA
MAL20122206T,NutraMutiara MaduArabPlus,NATURAL PRODUCT,00:00.0,00:00.0,53:27.0,Nutralabs,SYARIKAT MUTIARA
MAL09111760T,Detraig Tea,NATURAL PRODUCT,00:00.0,00:00.0,53:27.0,WHITE HERON PHARMACEUTICAL SDN. BHD.,WHITE HERON PHARMACEUTICAL SDN. BHD.
MAL12010010TC,Beau S Capsule,NATURAL PRODUCT,00:00.0,00:00.0,53:27.0,MEGA BIO MARKETING SDN BHD,THE ORIGIN FOODS SDN BHD
MAL20142377TE,TJ PHARMA TONGKAT ALI PERFOMA,NATURAL PRODUCT,00:00.0,00:00.0,53:27.0,TJ-TYT PHARMACEUTICALS (M) SDN. BHD.,TJ-TYT PHARMACEUTICALS (M) SDN. BHD.
MAL20142421TCE,VITAYANG CHLOROBOIST,NATURAL PRODUCT,00:00.0,00:00.0,53:27.0,AMMAY ENTERPRISE SDN BHD,GINBIO SDN BHD
MAL20152526TCE,KHANG SHEN HERBS MISAI KUCING TEA 3g,NATURAL PRODUCT,00:00.0,00:00.0,53:27.0,KHANG SHEN HERBS SDN BHD,WHITE HERON PHARMACEUTICAL SDN. BHD.
MAL20162569TE,MRT SPIRUGOLD CHEWABLE TABLET,NATURAL PRODUCT,00:00.0,00:00.0,53:27.0,MORETH SDN. BHD.,MORETH SDN. BHD.
MAL19911759XCR,NATURERICH VITAMIN E 200 I.U.,HEALTH SUPPLEMENT,00:00.0,00:00.0,53:27.0,PRO NUTRITION (MALAYSIA) SDN. BHD.,"NBTY Manufacturing, LLC"
MAL19973751XZ,CHEWABLE C 500MG TANGY ORANGE TABLET,HEALTH SUPPLEMENT,00:00.0,00:00.0,53:27.0,NUVANTA SDN. BHD.,NATURAL FACTORS NUTRITIONAL PRODUCTS LTD
MAL20020397X        ,TAIWAY WHEAT GERM-E PLUS,HEALTH SUPPLEMENT,00:00.0,00:00.0,53:27.0,TAIWAY MARKETING (M) SDN. BHD.,TAIWAY NUTRITION INC
MAL20034861X,CONSULF CAPSULES,NON PRESCRIPTION,00:00.0,00:00.0,53:27.0,AV MANUFACTURING SDN.BHD,AV MANUFACTURING SDN.BHD
MAL04125492XCR,BLACKMORES BUFFERED C TABLET,HEALTH SUPPLEMENT,00:00.0,00:00.0,53:27.0,BLACKMORES (MALAYSIA) SDN. BHD.,LIPA PHARM PTY LTD
MAL05072046X,Grevity Oil,NON PRESCRIPTION,00:00.0,00:00.0,53:27.0,ASTANA BIOCARE SDN BHD,
MAL05121187X    ,Ocuvite Lutein,NON PRESCRIPTION,00:00.0,00:00.0,53:27.0,Bausch & Lomb (Malaysia) Sdn. Bhd.,DR GERHARD MANN CHEM.-PHARM FABRIK GMBH
MAL06041443XCR    ,Naturerich Triple Lecithin,HEALTH SUPPLEMENT,00:00.0,00:00.0,53:27.0,PRO NUTRITION (MALAYSIA) SDN. BHD.,"NBTY Manufacturing, LLC"
MAL06051404XZ,PP Vitamin C 1000mg Tablet,HEALTH SUPPLEMENT,00:00.0,00:00.0,53:27.0,PAHANG PHARMACY SDN. BHD.,PAHANG PHARMACY SDN. BHD.
MAL07010964X,ARGINITRIC GRANULES 3g,HEALTH SUPPLEMENT,00:00.0,00:00.0,53:27.0,"THE ZYFAS MEDICAL CO.,",SAI MIRRA INNOPHARM. PVT. LTD
MAL09041162X,Supa-EFA Omega-3 EPA & DHA,HEALTH SUPPLEMENT,00:00.0,00:00.0,53:27.0,HIGH VALLEY CONTRACT MANUFACTURING (GMP) SDN BHD,HIGH VALLEY CONTRACT MANUFACTURING (GMP) SDN BHD
MAL19992543AZ,CAELYX CONCENTRATE FOR INFUSION 2MG/ML (20MG/VIAL),NEW CHEMICAL ENTITY,00:00.0,00:00.0,53:27.0,JOHNSON & JOHNSON SDN BHD,ALZA CORPORATION
MAL19991360AZ,ESMERON INJECTION 50MG/5ML (VIALS),NEW CHEMICAL ENTITY,00:00.0,00:00.0,53:27.0,MERCK SHARP & DOHME (MALAYSIA) SDN BHD,N.V. ORGANON
MAL20051327AZ,LIDOCAINE 2%W/V E-80 INJECTION,PRESCRIPTION,00:00.0,00:00.0,53:27.0,INTERNATIONAL TRADING COMPANY,NEW STETIC S.A
MAL20001549AC,BROMAZANIL 6 TABLET,PRESCRIPTION,00:00.0,00:00.0,53:27.0,IMEKS PHARMA SDN. BHD.,Salutas pharma GmbH
MAL20122203AZ,Mepivacaine 3 % Injection,PRESCRIPTION,00:00.0,00:00.0,53:27.0,INTERNATIONAL TRADING COMPANY,NEW STETIC S.A
MAL20162547AEZ,"INSUGEN-R (Regular) Insulin Injection, Soluble 100IU/mL",PRESCRIPTION,00:00.0,00:00.0,56:12.0,BIOCON SDN BHD,BIOCON SDN BHD
MAL20162548AEZ,INSUGEN-N (NPH) Insulin Injection Isophane 100IU/mL,PRESCRIPTION,00:00.0,00:00.0,57:10.0,BIOCON SDN BHD,BIOCON SDN BHD
MAL20162549AEZ,"INSUGEN-30/70 (Biphasic) Insulin Injection, Biphasic Isophane 100IU/mL",PRESCRIPTION,00:00.0,00:00.0,58:54.0,BIOCON SDN BHD,BIOCON SDN BHD
MAL07050953T,Minyak Seri Kayu Merah,NATURAL PRODUCT,00:00.0,00:00.0,06:30.0,PENAWAR INDUSTRIES SDN. BHD.,PENAWAR INDUSTRIES SDN. BHD.
MAL20031860T        ,MINYAK SERI KAYU PUTIH PLUS,NATURAL PRODUCT,00:00.0,00:00.0,08:00.0,PENAWAR INDUSTRIES SDN. BHD.,PENAWAR INDUSTRIES SDN. BHD.
MAL12065001TC,RJ Herbs,NATURAL PRODUCT,00:00.0,00:00.0,37:47.0,Rj Supply And Services,SARI TANI DESA SDN. BHD.
MAL14115006AZ,"Artheek Injectable solution, Articaine  4% with Adrenaline 1:100.000",PRESCRIPTION,00:00.0,00:00.0,41:41.0,INTERNATIONAL TRADING COMPANY,New Stetic S.A
MAL12025046TC,MB Spirulina,NATURAL PRODUCT,00:00.0,00:00.0,14:56.0,MEGA BIO MARKETING SDN BHD,THE ORIGIN FOODS SDN BHD
MAL12045084TC,NATURE SPIRULINA,NATURAL PRODUCT,00:00.0,00:00.0,16:23.0,MEGA BIO MARKETING SDN BHD,THE ORIGIN FOODS SDN BHD
MAL12115015TC,Aman Liquid,NATURAL PRODUCT,00:00.0,00:00.0,12:26.0,Vital Force Enterprise,FARMINA BIO PLUS INDUSTRIES & CONSULTANTS SDN. BHD.
MAL14125111NC,CellLabs  SHEEP  PLACENTA  EXTRACT  WITH COLLAGEN PLUS POWDER,HEALTH SUPPLEMENT,00:00.0,00:00.0,36:04.0,CELLGEN LIFESCIENCES (M) SDN. BHD.,Alpha Laboratories (NZ) Ltd.
MAL12085024TC,Teh Herba Callicarpa Kurnia Mas,NATURAL PRODUCT,00:00.0,00:00.0,39:38.0,Prolific Herb Centre,THOYYIB PHARMA INDUSTRIES (M) SDN. BHD.
MAL10053697TC,Septiloc,NATURAL PRODUCT,00:00.0,00:00.0,06:24.0,Synercam (M) Sdn Bhd,M/s Shaleen Pharmaceuticals
MAL19970552T,LIQUI-FIVE,NATURAL PRODUCT,00:00.0,00:00.0,07:21.0,SUNRIDER INTERNATIONAL (MALAYSIA) SDN BHD,SUNRIDER MANUFACTURING L.P.
MAL07101369TC,GANODERMA REISHI,NATURAL PRODUCT,00:00.0,00:00.0,08:11.0,HEALTHY LIVING MARKETING,RPM HERBS INDUSTRIES
MAL07090949T,Moxis Cream Gold,NATURAL PRODUCT,00:00.0,00:00.0,09:14.0,MOXIS HERBAL INDUSTRIES SDN BHD,Moxis Herbal Industries Sdn. Bhd.
MAL07090950T,Moxis Ointment,NATURAL PRODUCT,00:00.0,00:00.0,10:17.0,MOXIS HERBAL INDUSTRIES SDN BHD,Moxis Herbal Industries Sdn. Bhd.
MAL07010972T,MOXISST Pseudoginseng Plus,NATURAL PRODUCT,00:00.0,00:00.0,10:54.0,MOXIS HERBAL INDUSTRIES SDN BHD,Moxis Herbal Industries Sdn. Bhd.
MAL07010973T,MOXISOA Myristica Plus,NATURAL PRODUCT,00:00.0,00:00.0,11:34.0,MOXIS HERBAL INDUSTRIES SDN BHD,Moxis Herbal Industries Sdn. Bhd.
MAL07101279T,Moxis Green Gel,NATURAL PRODUCT,00:00.0,00:00.0,11:59.0,MOXIS HERBAL INDUSTRIES SDN BHD,Moxis Herbal Industries Sdn. Bhd.
MAL07010974T,MOXISSP Pistacia Plus,NATURAL PRODUCT,00:00.0,00:00.0,12:24.0,MOXIS HERBAL INDUSTRIES SDN BHD,Moxis Herbal Industries Sdn. Bhd.
MAL08120840T,MOXA,NATURAL PRODUCT,00:00.0,00:00.0,13:03.0,MOXIS HERBAL INDUSTRIES SDN BHD,Moxis Herbal Industries Sdn. Bhd.
MAL14120017T,MOXIS Inflapain relief liniment,NATURAL PRODUCT,00:00.0,00:00.0,13:56.0,MOXIS HERBAL INDUSTRIES SDN BHD,Moxis Herbal Industries Sdn. Bhd.
MAL09042409X,Orthoace  500mg(Glucosamine Sulphate Capsule),NON PRESCRIPTION,00:00.0,00:00.0,14:50.0,JETPHARMA SDN. BHD.,Gujarat Liqui Pharmacaps Private Ltd
MAL09062170X,PanaFlex Pain Relief Cream,NON PRESCRIPTION,00:00.0,00:00.0,15:27.0,GLAXOSMITHKLINE CONSUMER HEALTHCARE SDN. BHD.,GlaxoSmithKline Costa Rica S.A.
MAL09042541XSZ,SETAMOL FILM-COATED TABLET 500MG,NON PRESCRIPTION,00:00.0,00:00.0,16:09.0,HOVID BERHAD,Biodeal Pharmaceuticals Pvt. Ltd.
MAL19870385A,PROPAMIDE TABLET 250MG,PRESCRIPTION,00:00.0,00:00.0,16:43.0,ATLANTIC LABORATORIES (M) SDN. BHD.,"ATLANTIC LABORATORIES CORP.,LTD."
MAL09062147A,Fexofenadin Stada® 120mg Film-coated tablet,PRESCRIPTION,00:00.0,00:00.0,17:05.0,STADPHARM SDN. BHD.,Stada-Vietnam Joint Venture Co.Ltd
MAL09062146A,Fexofenadin  STADA® 180mg Film-coated tablet,PRESCRIPTION,00:00.0,00:00.0,22:38.0,STADPHARM SDN. BHD.,Stada-Vietnam Joint Venture Co.Ltd
MAL09051561A,Betahist Forte Tablets 16mg,PRESCRIPTION,00:00.0,00:00.0,24:16.0,KOMEDIC SDN BHD,GENO Pharmaceuticals Ltd
MAL08021514A,Adronate Tablet 70mg,PRESCRIPTION,00:00.0,00:00.0,24:41.0,ROYCE PHARMA MANUFACTURING SDN. BHD.,ROYCE PHARMA MANUFACTURING SDN. BHD.
MAL20112149X,MyDear GOLD Sheep Placenta PLUS Enteric Coated Soft Gel,NON PRESCRIPTION,00:00.0,00:00.0,07:25.0,ELEVENTH HOUR SDN BHD,Alpha Laboratories (NZ) Limited
MAL08031438TC   ,Swissmed ENZO Plus Capsule,NATURAL PRODUCT,00:00.0,00:00.0,19:58.0,BIO-SCIENCE MARKETING SDN. BHD.,YANLING NATURAL HYGIENE SDN. BHD.
MAL20021670T    ,CT Herbs Spices Nasuha Centella Herbal Tea Plus,NATURAL PRODUCT,00:00.0,00:00.0,21:24.0,BUDAYATAMA CORPORATION SDN BHD,BUDAYATAMA CORPORATION SDN BHD
MAL19973750X        ,"CALCIUM AND MAGNESIUM PLUS C,POTASSIUM AND ZINC TABLET",HEALTH SUPPLEMENT,00:00.0,00:00.0,23:07.0,NUVANTA SDN. BHD.,NATURAL FACTORS NUTRITIONAL PRODUCTS LTD
MAL19920496ARZ,DEXALTIN ORAL PASTE,PRESCRIPTION,00:00.0,00:00.0,24:23.0,PHARMAFORTE (MALAYSIA) SDN. BHD.,"NIPPON KAYAKU CO., LTD."
MAL06051343XCR  ,VitaHealth TRN Bioflavonoids C 1000 Plus Zinc Tablet,HEALTH SUPPLEMENT,00:00.0,00:00.0,25:20.0,VITAHEALTH BIOTECH SDN BHD,ECKHART CORPORATION
MAL12115027N,Live-well? WGP® Beta Glucan plus Vitamin-C Tablets,HEALTH SUPPLEMENT,00:00.0,00:00.0,29:22.0,PAHANG PHARMACY SDN. BHD.,PAHANG PHARMACY SDN. BHD.
MAL14025062TC,Infinitree 1,NATURAL PRODUCT,00:00.0,00:00.0,41:35.0,HEAVEN SECRETS SDN BHD,TPM BIOTECH SDN BHD
MAL15025003T,Herbaton Tui Re Powder,NATURAL PRODUCT,00:00.0,00:00.0,44:01.0,WINWA MEDICAL SDN. BHD.,WINWA MEDICAL SDN. BHD.
MAL14075004N,Live-well&#0153 Magnesium 350mg Tablet,HEALTH SUPPLEMENT,00:00.0,00:00.0,00:37.0,PAHANG PHARMACY SDN. BHD.,PAHANG PHARMACY SDN. BHD.
MAL15025013T,Herbaton Ba Bao Powder,NATURAL PRODUCT,00:00.0,00:00.0,02:02.0,WINWA MEDICAL SDN. BHD.,WINWA MEDICAL SDN. BHD.
MAL12105039TC,BIO NICE MISTURA XIAO YAO,NATURAL PRODUCT,00:00.0,00:00.0,08:34.0,Bio Nice Herbal World Sdn Bhd,BIO NICE INDUSTRY SDN BHD
MAL20142407NCE,AG-FACTOR,HEALTH SUPPLEMENT,00:00.0,00:00.0,14:10.0,Capetown Wonder Sdn. Bhd.,WHITE HERON PHARMACEUTICAL SDN. BHD.
MAL06091447XCR  ,Marine Omega Softgels,HEALTH SUPPLEMENT,00:00.0,00:00.0,00:04.0,NU SKIN (MALAYSIA) SDN. BHD.,"SOFT GEL TECHNOLOGIES, INC."
MAL13095004NC,Centrum Silver Multivitamin-Multimineral Plus Lutein and Lycopene,HEALTH SUPPLEMENT,00:00.0,00:00.0,07:21.0,PFIZER (MALAYSIA) SDN. BHD.,WYETH PHARMACEUTICAL CO. LTD
MAL05061523X    ,AO Pro Tablet,NON PRESCRIPTION,00:00.0,00:00.0,11:51.0,UHS ESSENTIAL HEALTH (MALAYSIA) SDN. BHD.,"USANA HEALTH SCIENCES, INC"
MAL20034867XCR,VITAHEALTH SELENIUM VITAPLUS TABLET,HEALTH SUPPLEMENT,00:00.0,00:00.0,14:57.0,VITAHEALTH BIOTECH SDN BHD,"ADH HEALTH PRODUCTS, INC"
MAL08061640T    ,BiShuShi Tablets,NATURAL PRODUCT,00:00.0,00:00.0,18:42.0,BUMARI SDN. BHD.,Guang Dong Province Hui Zhou City Chinese Medicine Factory Co.Ltd
MAL06071138XC   ,CalMag-D Tablet,HEALTH SUPPLEMENT,00:00.0,00:00.0,19:50.0,PURE NUTRITIONAL PRODUCTS SDN. BHD.,PAHANG PHARMACY SDN. BHD.
MAL06011733XCR,Blackmores Pregnancy Formula Capsule,HEALTH SUPPLEMENT,00:00.0,00:00.0,22:15.0,BLACKMORES (MALAYSIA) SDN. BHD.,CATALENT AUSTRALIA PTY LTD
MAL20102006TE,HEAMOLIF 500 MG,NATURAL PRODUCT,00:00.0,00:00.0,24:15.0,DOT GREEN LIFESCIENCES SDN. BHD.,DOT GREEN LIFESCIENCES SDN. BHD.
MAL12115002T,PP GINKGO 80 Tablet,NATURAL PRODUCT,00:00.0,00:00.0,26:11.0,PAHANG PHARMACY SDN. BHD.,PAHANG PHARMACY SDN. BHD.
MAL06051569XC   ,Parodontax Fluoride Toothpaste,NON PRESCRIPTION,00:00.0,00:00.0,25:49.0,GLAXOSMITHKLINE CONSUMER HEALTHCARE SDN. BHD.,"NEOCOSMED CO., LTD"
MAL20014343XRZ,HIDONAC SOLN FOR IV INFUSION (5G/25ML GLASS BOTTLE),NON PRESCRIPTION,00:00.0,00:00.0,28:41.0,EP PLUS GROUP SDN. BHD.,ZAMBON S.p.A.(Manufacturing site)
MAL13095003NC,Centrum Multivitamin-Multimineral Plus Lutein and Lycopene,HEALTH SUPPLEMENT,00:00.0,00:00.0,36:25.0,PFIZER (MALAYSIA) SDN. BHD.,WYETH PHARMACEUTICAL CO. LTD
MAL19991147A,DYNA KETOCONAZOLE TABLET,PRESCRIPTION,00:00.0,00:00.0,26:18.0,DYNAPHARM (M) SDN BHD,DYNAPHARM (M) SDN BHD
MAL19870182A,DIURAZIDE TABLET 500MG,PRESCRIPTION,00:00.0,00:00.0,27:28.0,ROYCE PHARMA MANUFACTURING SDN. BHD.,ROYCE PHARMA MANUFACTURING SDN. BHD.
MAL07021405T,Moments,NATURAL PRODUCT,00:00.0,00:00.0,50:08.0,HPA INDUSTRIES SDN. BHD.,ORGANIC GAIN SDN. BHD.
MAL20162551AEZ,Amoxigran Granules 250mg/5ml (Sugar Free),PRESCRIPTION,00:00.0,00:00.0,21:01.0,HOVID BERHAD,HOVID BERHAD
MAL20162550AEZ,Amoxigran Granules 125mg/5ml (Sugar Free),PRESCRIPTION,00:00.0,00:00.0,22:49.0,HOVID BERHAD,HOVID BERHAD
MAL07081528TC,Mas Cotek Feminine Hygiene Plus,NATURAL PRODUCT,00:00.0,00:00.0,29:17.0,URAZ CORPORATION SDN BHD,VITARITE PHARMACEUTICALS SDN BHD
MAL07082860TC,Herbs 21 Plus Liquid,NATURAL PRODUCT,00:00.0,00:00.0,39:12.0,URAZ CORPORATION SDN BHD,VITARITE PHARMACEUTICALS SDN BHD
MAL08091423TCR,BLACKMORES COLD COMBAT TABLET,NATURAL PRODUCT,00:00.0,00:00.0,49:36.0,BLACKMORES (MALAYSIA) SDN. BHD.,Lipa Pharmaceuticals Limited
MAL15065005NZ,GWIYOMI Vitamin C 500mg Capsule,HEALTH SUPPLEMENT,00:00.0,00:00.0,20:39.0,Dby Smart Trading,Dby Smart Trading
MAL20101999AZ,BRIDION 100MG/ML SOLUTION FOR INJECTION,NEW CHEMICAL ENTITY,00:00.0,00:00.0,42:54.0,MERCK SHARP & DOHME (MALAYSIA) SDN BHD,N.V. ORGANON
MAL19930002X        ,VITAGENIC MULTIVITAMIN CAPSULE,NON PRESCRIPTION,00:00.0,00:00.0,49:15.0,WINWA MEDICAL SDN. BHD.,WINWA MEDICAL SDN. BHD.
MAL09082870XCR,BiOmega III Plus,HEALTH SUPPLEMENT,00:00.0,00:00.0,20:43.0,UHS ESSENTIAL HEALTH (MALAYSIA) SDN. BHD.,SWISS CAPS USA INC.
MAL20162637TCE,Tian Jian Natural Health Alisma Plus Pills,NATURAL PRODUCT,00:00.0,00:00.0,27:51.0,NANYANG TRADITIONAL CHINESE MEDICINE SDN BHD,EXCEL HERBAL INDUSTRIES SDN. BHD.
MAL08080468T,Ginkgold 120mg Capsule,NATURAL PRODUCT,00:00.0,00:00.0,02:49.0,WINWA MEDICAL SDN. BHD.,WINWA MEDICAL SDN. BHD.
MAL07091001T    ,Ginkgold 60mg Tablet,NATURAL PRODUCT,00:00.0,00:00.0,07:03.0,WINWA MEDICAL SDN. BHD.,WINWA MEDICAL SDN. BHD.
MAL14015047TC,algaPrima Alga Spirulina,NATURAL PRODUCT,00:00.0,00:00.0,43:49.0,ALGA PRIMA SDN BHD,BIOALPHA INTERNATIONAL SDN BHD
MAL09082589TC,Premia Spirulina-Ex,NATURAL PRODUCT,00:00.0,00:00.0,44:18.0,Algaetech Sdn Bhd,Bioalpha International Sdn. Bhd.
MAL15040028TC,Bioherbs Tongkat Ali GOLD Capsule,NATURAL PRODUCT,00:00.0,00:00.0,45:39.0,CNZ BIOTECH SDN. BHD.,Bioalpha International Sdn. Bhd.
MAL09082853T,CORDYCEPS LEM PLUS,NATURAL PRODUCT,00:00.0,00:00.0,46:05.0,Golden Seas Marketing Sdn Bhd,Bioalpha International Sdn. Bhd.
MAL19990758TC       ,JIAN FEI WAN (CAPSULE),NATURAL PRODUCT,00:00.0,00:00.0,46:40.0,VIEN KHENG TRADING,YONGTIN MEDICAL TRADING
MAL19990760TC       ,TONG JING WAN (CAPSULE),NATURAL PRODUCT,00:00.0,00:00.0,46:59.0,VIEN KHENG TRADING,YONGTIN MEDICAL TRADING
MAL19990754TC       ,MUSK PILE PILLS,NATURAL PRODUCT,00:00.0,00:00.0,47:17.0,VIEN KHENG TRADING,YONGTIN MEDICAL TRADING
